text,label,label_name,text_original,tokenized_text,sent_token_length,sent_bert_token_length,char_count,Character Count
mira este payaso.  fecical  fujimorista   💩💩💩este es lo que eres.,0,Negative,Mira este payaso.  Fecical  Fujimorista   💩💩💩💩este es lo que eres.,mira este payaso   fecical  fujimorista   💩💩💩este es lo que eres ,10,18,65,65
que antojo.. y con su clarito mmm una delicia 😋,2,Positive,Que antojo.. Y con su clarito mmmm una delicia 😋,que antojo   y con su clarito mmm una delicia 😋,10,11,47,47
ahorita vengo,1,Neutral,Ahorita vengo,ahorita vengo,2,2,13,13
"hoy fallo yotun , mañana puede ser otro y solo recuerden que ay que tener cojones para pararse al frente de un arco y patear , también hasta los mejores jugadores del mundo también fallaron , el fútbol siempre da y dará revancha 🇵🇪💪",1,Neutral,"Hoy fallo Yotun , mañana puede ser otro y solo recuerden que ay que tener cojones para pararse al frente de un arco y patear , también hasta los mejores jugadores del mundo también fallaron , el fútbol siempre da y dará revancha 🇵🇪💪",hoy fallo yotun   mañana puede ser otro y solo recuerden que ay que tener cojones para pararse al frente de un arco y patear   también hasta los mejores jugadores del mundo también fallaron   el fútbol siempre da y dará revancha 🇵🇪💪,44,47,232,232
te invito a ir a el caldo criollo ... y tu me dices que caldo te parece mejor 😘 de paso un lomo saltado. 😉,2,Positive, Te invito a ir a El caldo criollo ... y tu me dices que caldo te parece mejor 😘 de paso un lomo saltado. 😉,te invito a ir a el caldo criollo     y tu me dices que caldo te parece mejor 😘 de paso un lomo saltado  😉,25,27,106,106
me encantó cantaron lindos michi 💯💕 bendiciones,2,Positive,Me encantó cantaron lindos michi 💯💕 bendiciones,me encantó cantaron lindos michi 💯💕 bendiciones,7,8,47,47
"no seas conchudo, zavalita",0,Negative,"No seas conchudo, Zavalita",no seas conchudo  zavalita,4,8,26,26
que delicia la quinua😊,2,Positive,Que delicia la quinua😊,que delicia la quinua😊,4,5,22,22
"más burro es ese seudo policía,sabemos que la institución policial está podrido. sigues con ese argumento de senderista, terrorista ,por eso se les dice derecha bruta y achorada 😁",0,Negative,"Más burro es ese seudo policía,sabemos que la institución policial está podrido. Sigues con ese argumento de senderista, terrorista ,por eso se les dice derecha bruta y achorada 😁",más burro es ese seudo policía sabemos que la institución policial está podrido  sigues con ese argumento de senderista  terrorista  por eso se les dice derecha bruta y achorada 😁,29,37,179,179
las sopas mas poderosas (levanta muertos) de nuestro perú. 😋,2,Positive,Las sopas mas poderosas (levanta muertos) de nuestro Perú. 😋,las sopas mas poderosas  levanta muertos  de nuestro perú  😋,10,15,60,60
nose 🤔pero creo que las flacas hasta los 20 o 25 escogen al mas piraña ya despues se dan cuenta y buscan ya algo serio y formal lo malo que ya lo hacen cuando ya tienen un par de hijos del piraña 🤓,0,Negative,Nose 🤔pero creo que las flacas hasta los 20 o 25 escogen al mas piraña ya despues se dan cuenta y buscan ya algo serio y formal lo malo que ya lo hacen cuando ya tienen un par de hijos del piraña 🤓,nose 🤔pero creo que las flacas hasta los 20 o 25 escogen al mas piraña ya despues se dan cuenta y buscan ya algo serio y formal lo malo que ya lo hacen cuando ya tienen un par de hijos del piraña 🤓,43,47,197,197
ahmed fernández velarde ahora toca catar en jamaica 🇯🇲️,2,Positive,Ahmed Fernández Velarde Ahora toca catar en Jamaica 🇯🇲❤️,ahmed fernández velarde ahora toca catar en jamaica 🇯🇲️,9,13,55,55
pero así tu madre se sentirá más tranquila,2,Positive,Pero así tu madre se sentirá más tranquila,pero así tu madre se sentirá más tranquila,8,9,42,42
"en el perú, uno es militar por las puras huevas del diablo",0,Negative,"En el Perú, uno es militar por las puras huevas del diablo",en el perú  uno es militar por las puras huevas del diablo,12,13,58,58
"dice que lea el plan de gobierno 😂😂😂. así es cuando su único objetivo es llegar al poder.  paradojas de la vida. los peruanos votaron el 10 de junio en contra de mario vargas llosa, por temor al programa de ""shock"" anunciado durante su campaña para corregir los desequilibrios económicos de su país. y eligieron en su lugar a un desconocido: alberto fujimori, un ingeniero agrónomo sin ninguna tradición política.  dos meses después, fujimori sorprendió a todo el mundo con un programa de ajuste que los observadores consideran como un verdadero ""supershock"". los precios de la gasolina, uno de los bienes básicos de la economía peruana, fueron multiplicados por 30. algunos productos de la canasta familiar, como el pan, el azúcar y los fideos, sufrieron alzas del 300 al 400 por ciento. y la tasa de cambio fue liberada, con lo que su cotización puede multiplicarse fácilmente por tres.",0,Negative,"Dice que lea el plan de gobierno 😂😂😂😂😂😂😂😂😂😂😂. Así es cuando su único objetivo es llegar al poder.  Paradojas de la vida. Los peruanos votaron el 10 de junio en contra de Mario Vargas Llosa, por temor al programa de ""shock"" anunciado durante su campaña para corregir los desequilibrios económicos de su país. Y eligieron en su lugar a un desconocido: Alberto Fujimori, un ingeniero agrónomo sin ninguna tradición política.  Dos meses después, Fujimori sorprendió a todo el mundo con un programa de ajuste que los observadores consideran como un verdadero ""supershock"". Los precios de la gasolina, uno de los bienes básicos de la economía peruana, fueron multiplicados por 30. Algunos productos de la canasta familiar, como el pan, el azúcar y los fideos, sufrieron alzas del 300 al 400 por ciento. Y la tasa de cambio fue liberada, con lo que su cotización puede multiplicarse fácilmente por tres.",dice que lea el plan de gobierno 😂😂😂  así es cuando su único objetivo es llegar al poder   paradojas de la vida  los peruanos votaron el 10 de junio en contra de mario vargas llosa  por temor al programa de  shock  anunciado durante su campaña para corregir los desequilibrios económicos de su país  y eligieron en su lugar a un desconocido  alberto fujimori  un ingeniero agrónomo sin ninguna tradición política   dos meses después  fujimori sorprendió a todo el mundo con un programa de ajuste que los observadores consideran como un verdadero  supershock   los precios de la gasolina  uno de los bienes básicos de la economía peruana  fueron multiplicados por 30  algunos productos de la canasta familiar  como el pan  el azúcar y los fideos  sufrieron alzas del 300 al 400 por ciento  y la tasa de cambio fue liberada  con lo que su cotización puede multiplicarse fácilmente por tres ,149,179,888,888
"ya la hemos visto de teresa, rubi y ahora de paola bracho, pensándolo bonito, me gustaría verla como., *doña barbara*  😂😂😂 o* la gata *",1,Neutral,"Ya la hemos visto de Teresa, rubi y ahora de paola bracho, Pensándolo bonito, me gustaría verla como., *Doña barbara*  😂😂😂😂😂 o* la gata *",ya la hemos visto de teresa  rubi y ahora de paola bracho  pensándolo bonito  me gustaría verla como    doña barbara   😂😂😂 o  la gata  ,25,35,135,135
eso sí es viajar tirar carpa comer en ruta 😉,2,Positive,Eso sí es viajar tirar carpa comer en ruta 😉,eso sí es viajar tirar carpa comer en ruta 😉,10,10,44,44
me bañare con ruda hasta el 26 :'v  todo sea por el canguro 🙏🙏🙏😭🙌,1,Neutral,Me bañare con ruda hasta el 26 :'v  todo sea por el canguro 🙏🙏🙏🙏😭🙌,me bañare con ruda hasta el 26   v  todo sea por el canguro 🙏🙏🙏😭🙌,14,18,65,65
"jaja la gente la.kagada.. es chibolo parece sano , se gana la vida vendiendo oregano pal caldo 😅😅😅",0,Negative,"Jajaja la gente la.kagada.. es chibolo parece sano , se gana la vida vendiendo oregano pal caldo 😅😅😅",jaja la gente la kagada   es chibolo parece sano   se gana la vida vendiendo oregano pal caldo 😅😅😅,18,24,98,98
"provincia del santa - causa de vinzos, combinoche - chimbote, caldo de la tía pito, patita de fiambre de la tía miserable, cuyes de moro, sus alfajores que son tradición, cheviche chimbotano con sus maruchitas de entrada, las cachangas de la tarde, los picarones de jirón espinar, el pato de casma. sería una buena ruta. 😋",2,Positive,"Provincia del Santa - Causa de Vinzos, Combinoche - Chimbote, Caldo de la tía pito, patita de fiambre de la tía miserable, Cuyes de moro, sus Alfajores que son tradición, Cheviche chimbotano con sus maruchitas de entrada, las cachangas de la tarde, los picarones de jirón espinar, El pato de Casma. Sería una buena ruta. 😋",provincia del santa   causa de vinzos  combinoche   chimbote  caldo de la tía pito  patita de fiambre de la tía miserable  cuyes de moro  sus alfajores que son tradición  cheviche chimbotano con sus maruchitas de entrada  las cachangas de la tarde  los picarones de jirón espinar  el pato de casma  sería una buena ruta  😋,56,84,322,322
rodolfo el camarógrafo me hace recordar y reír la picardía peruana😃,2,Positive,Rodolfo el camarógrafo me hace recordar y reír la picardía Peruana😃,rodolfo el camarógrafo me hace recordar y reír la picardía peruana😃,11,14,67,67
"saludos desde guayaquil ecuador . amo la comida peruana y la de chiclayo y piura son lo máximo en sabor me encanta chiclayo y sus ceviches el de toyo con su tortillita con algas fue algo nuevo y diferente de probar también su ceviche de caballa con un buen trago de leche de tigre bien picante , también su arroz con cerdo una delicia en el mercado claro está jaja me gusta chiclayo porque tenía a playa en menos de 15 minutos y estaba en pimentel como extraño perú vida de reyes a me olvidaba del dulce king kon tronco de galleta jjj y de la chicha de mani y sus marcianos a los kioskos de comida china y su rico chaufa frente a los terminales de buses ❤️️❤️️👍👍😋😋 grande peru su gente su comida y sus cervezas también para un buen corte nada mejor q una chilindrina bien fria jaja",2,Positive,"Saludos desde Guayaquil Ecuador . Amo la comida peruana y la de Chiclayo y Piura son lo máximo en sabor me encanta Chiclayo y sus ceviches el de Toyo con su tortillita con algas fue algo nuevo y diferente de probar también su ceviche de caballa con un buen trago de leche de tigre bien picante , también su arroz con cerdo una delicia en el mercado claro está jajajaja me gusta Chiclayo porque tenía a playa en menos de 15 minutos y estaba en Pimentel como extraño Perú vida de reyes a me olvidaba del dulce king Kon tronco de galleta jjjj y de la chicha de mani y sus marcianos a los kioskos de comida china y su rico chaufa frente a los terminales de buses ♥️♥️👍👍😋😋 GRANDE PERU SU GENTE SU COMIDA Y SUS CERVEZAS TAMBIÉN PARA UN BUEN CORTE NADA MEJOR Q UNA CHILINDRINA BIEN FRIA JAJAJAJA",saludos desde guayaquil ecuador   amo la comida peruana y la de chiclayo y piura son lo máximo en sabor me encanta chiclayo y sus ceviches el de toyo con su tortillita con algas fue algo nuevo y diferente de probar también su ceviche de caballa con un buen trago de leche de tigre bien picante   también su arroz con cerdo una delicia en el mercado claro está jaja me gusta chiclayo porque tenía a playa en menos de 15 minutos y estaba en pimentel como extraño perú vida de reyes a me olvidaba del dulce king kon tronco de galleta jjj y de la chicha de mani y sus marcianos a los kioskos de comida china y su rico chaufa frente a los terminales de buses ️️️👍👍😋😋 grande peru su gente su comida y sus cervezas también para un buen corte nada mejor q una chilindrina bien fria jaja,151,178,781,781
mi chorrillos anda para q te den tu leche jaja tu leche de tigre 🤣🤣🤣,1,Neutral,Mi chorrillos anda para q te den tu leche jajajaja tu leche de tigre 🤣🤣🤣,mi chorrillos anda para q te den tu leche jaja tu leche de tigre 🤣🤣🤣,15,16,68,68
que rico seco de frejoles 😍,2,Positive,Que rico seco de frejoles 😍,que rico seco de frejoles 😍,6,8,27,27
😂🤣q agrandado 👅 de trapo!!! vino pesuñento d brasil donde jugaba en su barrio... y ahora se tira la pana...q agradezca q en su época había puro san juan de dios en el campeonato local!!🤣😡🤬😂,0,Negative,😂🤣q agrandado 👅 de trapo!!! Vino pesuñento d Brasil donde jugaba en su Barrio.... Y ahora se tira la pana...q agradezca q en su época había puro San Juan de Dios en el Campeonato local!!🤣😡🤬😂,😂🤣q agrandado 👅 de trapo    vino pesuñento d brasil donde jugaba en su barrio    y ahora se tira la pana   q agradezca q en su época había puro san juan de dios en el campeonato local  🤣😡🤬😂,35,45,189,189
realmente creen que algúno de bajos recursos recibirá la vacuna .?? 🤦🏻‍️ como si no supieran cómo son las acciones del gobierno peruano .! a lo mejor ni vacunas llegaron y todo fue un show y se repartieron el dinero que disque pagaron ..! 🤷🏻‍️ lo que necesitamos en una bomba con todos los postulantes nuevos y viejos dentro del congreso,0,Negative,Realmente creen que algúno de bajos recursos recibirá la vacuna .?? 🤦🏻‍♀️ como si no supieran cómo son las acciones del gobierno peruano .! A lo mejor ni vacunas llegaron y todo fue un show y se repartieron el dinero que disque pagaron ..! 🤷🏻‍♀️ lo que necesitamos en una bomba con todos los postulantes nuevos y viejos dentro del congreso ,realmente creen que algúno de bajos recursos recibirá la vacuna     🤦🏻‍️ como si no supieran cómo son las acciones del gobierno peruano    a lo mejor ni vacunas llegaron y todo fue un show y se repartieron el dinero que disque pagaron     🤷🏻‍️ lo que necesitamos en una bomba con todos los postulantes nuevos y viejos dentro del congreso,61,68,337,337
"waooo esa temática le encanta a mi hijo, loco dinosaurios! 😍",2,Positive,"Waoooo esa temática le encanta a mi hijo, loco dinosaurios! 😍",waooo esa temática le encanta a mi hijo  loco dinosaurios  😍,11,14,60,60
sonrisa de burro te pasaste flaco😅😅,0,Negative,Sonrisa de burro te pasaste flaco😅😅,sonrisa de burro te pasaste flaco😅😅,6,6,35,35
mi soli deyvis franco jaja hace locuras manito 🤣🤣,1,Neutral,Mi Soli Deyvis Franco jajajaj hace locuras manito 🤣🤣,mi soli deyvis franco jaja hace locuras manito 🤣🤣,9,13,49,49
"ay que asco, como puede comer esa cosa horrorosa, guácala es como comer cucarachas 🤮",0,Negative,"Ay que asco, como puede comer esa cosa horrorosa, guácala es como comer cucarachas 🤮",ay que asco  como puede comer esa cosa horrorosa  guácala es como comer cucarachas 🤮,15,19,84,84
"que asco estás personas... el otro, 😡 cambiate de polo oeee...!! 🤦se ha marcado el sudor  de dos días en las alicias🤣...guakala🤮, eso le gusta a esa tipa... par de corrientes cochinos...",0,Negative,"Que asco estás personas.... El otro, 😡 cambiate de polo oeee....!! 🤦se ha marcado el sudor  de dos días en las alicias🤣....guakala🤮, eso le gusta a esa tipa... Par de corrientes cochinos...",que asco estás personas    el otro  😡 cambiate de polo oeee      🤦se ha marcado el sudor  de dos días en las alicias🤣   guakala🤮  eso le gusta a esa tipa    par de corrientes cochinos   ,32,45,186,186
cuanto 💩tecleando..!!! me fallaste ind. santa fe 😠🤣,0,Negative,Cuanto 💩tecleando..!!! Me fallaste ind. Santa fe 😠🤣,cuanto 💩tecleando      me fallaste ind  santa fe 😠🤣,8,13,51,51
lo que pasa que no les gusta que les digan las cosas en su cara pelada entre ladrones se tapan ... esos son la porquería de periodistas que tenemos 😡,0,Negative,Lo que pasa que no les gusta que les digan las cosas en su cara pelada entre ladrones se tapan ........ Esos son la porquería de periodistas que tenemos 😡,lo que pasa que no les gusta que les digan las cosas en su cara pelada entre ladrones se tapan     esos son la porquería de periodistas que tenemos 😡,30,31,149,149
"yo soy misterio, saco mi fierro y te mato",0,Negative,"Yo soy Misterio, saco mi fierro y te mato",yo soy misterio  saco mi fierro y te mato,9,10,41,41
alberto ay ya perdón! jaja ️🙄😂,1,Neutral,Alberto ay ya perdón! Jajajajajajajajajaja ☹️🙄😂,alberto ay ya perdón  jaja ️🙄😂,6,7,30,30
christian carrasco capo  😳😳,1,Neutral,Christian Carrasco Capo  😳😳,christian carrasco capo  😳😳,4,6,27,27
"tu viejo el sambo phillip butters,,, deberías de tener un poco de vergüenza curry antes de apoyar a este negro racista,,, acaso no sabes que ese phillip odia a los arequipeños,,, ni sabes lo que haces  esclavo😡😡😡",0,Negative,"Tu viejo el sambo phillip butters,,,, deberías de tener un poco de vergüenza Curry antes de apoyar a este negro racista,,, acaso no sabes que ese phillip odia a los Arequipeños,,, ni sabes lo que haces  esclavo😡😡😡",tu viejo el sambo phillip butters    deberías de tener un poco de vergüenza curry antes de apoyar a este negro racista    acaso no sabes que ese phillip odia a los arequipeños    ni sabes lo que haces  esclavo😡😡😡,37,51,212,212
cuál es su finalidad? apoye a los médicos y hable del desabastecimiento de los hospitales y déjese de huevadas si tanta pena le da compre usted sus mascarilas y guantes a todas estas lacras 😠😠,0,Negative,Cuál es su finalidad? Apoye a los médicos y hable del desabastecimiento de los hospitales y déjese de huevadas si tanta pena le da compre usted sus mascarilas y guantes a todas estas lacras 😠😠,cuál es su finalidad  apoye a los médicos y hable del desabastecimiento de los hospitales y déjese de huevadas si tanta pena le da compre usted sus mascarilas y guantes a todas estas lacras 😠😠,35,42,192,192
"guitarreo va, canto viene y los potos menudeaban",0,Negative,"Guitarreo va, canto viene y los potos menudeaban",guitarreo va  canto viene y los potos menudeaban,8,11,48,48
le regalaba muñecas y le hacía rizos,1,Neutral,Le regalaba muñecas y le hacía rizos,le regalaba muñecas y le hacía rizos,7,10,36,36
"amo real plaza porque encuentro de todo, desde una salida en familia dónde hay para todos los gustos, mamá, papá, hermana, abuelos. también poder salir con mi novio a comer, divertirnos, comprar cositas, la amabilidad de todos y la seguridad que siento es única. amo salir y sobretodo si tengo con qué distraerme e incluso poder descansar, zona de carga de celular donde es el único centro comercial que e visto que lo tiene. me encanta! y espero poder ganar para seguir disfrutando de real plaza y que mejor si es un regalo 💜 amo total",1,Neutral,"Amo Real plaza porque encuentro de todo, desde una salida en familia dónde hay para todos los gustos, mamá, papá, hermana, abuelos. También poder salir con mi novio a comer, divertirnos, comprar cositas, la amabilidad de todos y la seguridad que siento es única. Amo salir y sobretodo si tengo con qué distraerme e incluso poder descansar, zona de carga de celular donde es el único centro comercial que e visto que lo tiene. Me encanta! Y espero poder ganar para seguir disfrutando de Real plaza y que mejor si es un regalo 💜 amo total",amo real plaza porque encuentro de todo  desde una salida en familia dónde hay para todos los gustos  mamá  papá  hermana  abuelos  también poder salir con mi novio a comer  divertirnos  comprar cositas  la amabilidad de todos y la seguridad que siento es única  amo salir y sobretodo si tengo con qué distraerme e incluso poder descansar  zona de carga de celular donde es el único centro comercial que e visto que lo tiene  me encanta  y espero poder ganar para seguir disfrutando de real plaza y que mejor si es un regalo 💜 amo total,96,105,536,536
"yo eligo y uso el dorado,🎉 tengo un balayage y ese producto me lo deja muy suave y brillante  sus productos son buenisimos!!! ️",2,Positive,"Yo eligo y uso el DORADO,🎉 tengo un balayage y ese producto me lo deja muy suave y brillante  Sus productos son buenisimos!!! ❤️",yo eligo y uso el dorado 🎉 tengo un balayage y ese producto me lo deja muy suave y brillante  sus productos son buenisimos    ️,24,31,127,127
todo me chupan la pinga 💪😁 saludos comas la pascana km14,0,Negative,Todo me chupan la pinga 💪😁 SALUDOS COMAS LA PASCANA KM14,todo me chupan la pinga 💪😁 saludos comas la pascana km14,11,15,56,56
"ese es mi cachorro, carajo dijo, con orgullo",1,Neutral,"Ese es mi cachorro, carajo dijo, con orgullo",ese es mi cachorro  carajo dijo  con orgullo,8,9,44,44
ooohh pro solo pintan en esas hojas!😢,0,Negative,Ooohh pro solo pintan en esas hojas!😢,ooohh pro solo pintan en esas hojas 😢,7,9,37,37
"entonces, yo también soy sedicioso 💪 fuerza beto carajo 💪",1,Neutral,"Entonces, Yo también soy SEDICIOSO 💪 FUERZA BETO CARAJO 💪",entonces  yo también soy sedicioso 💪 fuerza beto carajo 💪,10,12,57,57
beto te adoro. estoy super feliz de que regreses. q tuemblen los otros canales y programas!!😜,2,Positive,Beto te adoro❤. Estoy super feliz de que regreses. Q tuemblen los otros canales y programas!!😜,beto te adoro  estoy super feliz de que regreses  q tuemblen los otros canales y programas  😜,16,22,93,93
