text,label,label_name
"‼️‼️ANIBAL TORRES.....la cara de la hipocresía.‼️ Por : Luis Yntor.  ‼️El presidente del consejo de ministros Anibal Torres, figura como accionista de Credicorp y sus acciones están valoradas aprox. en US$ 100 mil dólares, beneficiandose de los placeres económicos del capitalismo y del ""modelo neoliberal explotador"" que tanto hipócritamente crítica, pues es un oligarca disfrazado de 'buenito socialista"" que vive como burgués en una zona  exclusiva de San Isidro y de manera rentista se favorece del grupo de poder económico mas poderoso y rico del país. El premier Torres está violando la ley pues ningún funcionario público debe ser parte de directorio, gerencia o ACCIONARIADO de alguna empresa.  Anibal Torres es un promotor del  comunismo que inflama a las calles, manipula y seduce a muchos ingenuos con su odio discriminador de resentido social, y con su narrativa de ricos contra pobres, despotrica de la gran empresa y vilipendia contra los monopolios y oligopolios, sin embargo es accionista de Credicorp, un holding que es parte del oligopolio financiero de nuestro país y que tiene los intereses más usureros del sistema financiero latinoamericano y dónde Anibal Torres cobra puntualmente sus dividendos por las prácticas abusivas de este holding de la derecha.  El premier Torres es muy crítico contra la corrupción, pero ya vemos que es sólo un discurso falso, pues descaradamente no solo viola la ley con su accionariado en Credicorp, sino también lo hace con los contratos que ha suscrito su hermano, su cuñada y su esposa por una cifra de hasta S/14 millones de soles, a pesar de que están prohibidos de contratar con el Estado y que lamentablemente la fiscalía ni se pronuncia ni investiga ante los negociados de esta familia.  No es nada malo tener acciones en alguna empresa importante o tener un nivel económico pudiente, eso no está en discusión,  lo reprochable es la doble moral de Anibal Torres en criticar a la ""derecha opresora"",  censurar el modelo económico, pero disfrutar de las bondades del capitalismo, que le ha permitido tener comodidades que jamás podría alcanzar en sistemas que él defiende, como Cuba y Venezuela. Al parecer a estos admiradores del comunismo les molesta la fortuna de los demás, pero no la suya, quieren hambre para el pueblo y dinero para su bolsillo.",0,negative
Todos esperando a que pruebe la hamburguesa y la gaseosa 😑😑 y nada 🙅🤣,0,negative
Me encantaron los gorritos y el camaleón ♡ Prontito iré ^*^,2,positive
"Yo nunca vote por fujimori ni por Keiko pero ante estas circunstancias no hay una mejor opcion que votar por Keiko por favor razonen no podemos permitir que nuestro país vuelva vivir como hace años, no teníamos luz ponían bombas todo el tiempo yo estudiaba en la facultad de derecho de la universidad Garcilazo de la Vega eramos vecinos del Comando Conjunto y cuando pusieron bombas volaron todos los vidrios de mi facultad era horrible esa época cuando habían apagones, corríamos todos a ciegas, con muchon miedo. no teníamos luz cuando volaban las torres,  recuerdo la muerte de Maria Elena Moyano eso fue 😱espantoso, estos perversos mataron  injustamente a mucha gente pobre en Ayacucho. Que les pasa ya lo olvidaron todo no puede ser razonen, que rápido olvidaron todo 😨😞😦yo no piensen, Uds., van a ser los más afectados miren a Venezuela, Cuba, Nicaragua. Yo no vivo en el Perú pero están lo que yo más quiero en esta vida mis padres mi familia y mis amistades todos estamos decididos a votar por Keiko no queda de otra. POR FAVOR NO AL TERRORISMO NUNCA MAS PIENSA ANTES de Votar no lo hagas por Keiko hazlo por ti y tu familia.",0,negative
"Qué incompetentes están al frente de la federación, a quién quieren meter irregularmente, sabemos de las argollas y los favoritismos a todo nivel, fuerza Sofía, no tienes por qué robar lo que te corresponde por derecho👏🏻👏🏻👏🏻",0,negative
La del barrio pos clarines muy riquísimo y más baratito jajjaja.... 😎 con Olivia Catalina Cuevas Cañamero mi,2,positive
"Huacatay??? toda mi vida lo he comido con culantro. Igualito, pero con culantro y sabe buenazo, seguramente que con huacatay también, mis respetos por este plato, hoy lo hice en casa, casualidad? 😋",2,positive
Parecías loco,0,negative
"Qué hipócrita la gente, hasta en ésta cojudeza la mujer pasa piola en cambio al varón lo estarían destruyendo si su pareja es menor de más de  20 años 🤔😅",0,negative
Grabame la Cuca jaja esa cochina marginal tan fiera no nos representa dejenlos pegos para que aprendan claro me respetan alos paisanos que trabajan para bien y su familia siempre lo edicho si eres una plaga que no trabajas en Venezuela que vas Acer para otro país a ponernos en mal alos que si sabemos trabajar con educación física por mi le pueden dar una palisa que los dejen en coma que asco 🤮🤮🤮,0,negative
pero falta su gaseosa pa que resbale,1,neutral
Desde Tumbes Perú ❤️❤️❤️,2,positive
Chale a mí se me acaba hoy la colaboración 😔,0,negative
"Raquel Espino vi todo el video y pensaba, Raquel de michi no me llevó a ningún lugar 🥺🥺 luego (mientras seguía viendo) pensé, no hubo tiempo para hacer mucho hasta que vi el ceviche de cangrejo, ¡¿por qué no me llevaste?! Esa no te perdono 😣😣",0,negative
Porfa cuantas filas de papel crepe para la cortina 😊,2,positive
Y el chaval Benavente para cuando ???? Mucha argolla 😡,0,negative
K  chicha  nos  interesa  lo  k  diga  esta  cuchillada csm..piernas  de  escoba  y  sin  caderas  cuerpo  de  hombre  💩,0,negative
Camila vamos con Miriam a comer chocho!!! 😊,2,positive
Este del Rincón está loco  y es un bulgar qué quiere ahuevar a sus entrevistadores .😡😡😡😡😡,0,negative
Beto ortiz ya   cansate pues   o debería decirte mariposa limeña 🐁🐁🐀🐁🐀,0,negative
Bella y Maja!!!!😍😍👏👏😊😄😉❤❤💛💛👍✨✨,2,positive
"Que sigan los éxitos para ti, Cholooo 😄😄😄",2,positive
"Me hiciste el día, al otaku lo destruiste en segundos... 🤣🤣",2,positive
Pero yo qué pito toco en todo esto,0,negative
Dioni lo esperaba con las dos mulas ensilladas,1,neutral
"Me paso casi casi lo mismo, mi pequeño no se motivaba a caminar, y obviamente entraba en pánico pero de un para otro (un año tres meses) el estaba con su papa afuera lo dejo parado y de la nada comenzó a caminar sólo y no sólo un par de pasos si no por un largo trayecto 😢😢.. Fue muy emotivo verlo tirarse a caminar solito.. Bello recuerdo 😍😍",1,neutral
"Jajaja que amargada la tía fácil esa tienda no venden nada es para salir corriendo , creo que por eso para vacío , Ojalá lo vea el dueño y se de cuenta por que no vende y está pagando a la empleada por las puras😂😂😂",0,negative
Y más vagoooo !!! 🤣🤣🤣,0,negative
Jordan mano ese video mándaselo a ya sabes quien 🤣,2,positive
Luciano Por fin fuiste  a mi Ica querida  la Tierra del Eterno sol y del rico pisco  donde se  come bien rico 😋.,2,positive
"Lucia Anthony Karina quién me manda?🤔 , yo también quiero ir a malograr mi ropa como la liiiz 😂😂 .",0,negative
"Ese entrevistador q riko habla weon  manyas,😎😄🤦‍♂️🤷‍♂️",2,positive
😂😂😂😂 mira Alisson B. Cayetano esta si me hizo reír,1,neutral
Saludos cabeza pinga. Eres un capo Beto 💪,0,negative
QUE SE PUEDE ESPERAR DE UNA COMUNISTA IZQUIEDISTA TARADA SE LES SUBIERON LOS HUMOS AL POCO CEREBRUTO RIDICULA QUE SE CREE NO GANARAS JAMAS GANARAN PEDAZOS DE PORQUERÍA LACRAS TU LAPIZ ES UN CERO A LA IZQUIERDA TITERE DE LOS CORRUPTOS Y ESA ZANGANA DE KK JAMAS DARE MI VOTO A DOS HP QUE NO M REPRESENTAN EN LO ABSOLUTO JAMAAAAS .... #NULANIDADTOTALONPECORRUPTAY PROTITUTA🚫🤬🤬🤬🤬🤬🚫🚫🚫🤬🤬🤬🤬🤬🤬🤬🤬🚫🚫🚫🚫🚫,0,negative
"Estoy en Lima, cuando por Ancón chinito. Saludos a la batería 👍👍👍👍",2,positive
hoowww taza de nemo ♥ jajaa,2,positive
Y al final el único fiel es el Michi :v Pipipipipi 😭😭😭😭😭,0,negative
Donde está la tía del hígado frito con yuca 🤭🤭,1,neutral
Christian creo q deberías chequear porsiaca a mi me sirvió en cajamarca sus recomendaciones 😜,1,neutral
Bien feo por mi madre ese de polo plomo..!😢,0,negative
Esto si quiero Daniel Machado yummy!! 🙌,2,positive
Edwin Anccasi aún así Luis Moreno baja al taco😂,2,positive
😅😅😅no chequeen.. CHOCOLATE buenazo..!! 😋😋😍,2,positive
Jajaja haciendo colectivo en triciclo 🤦‍♂️,1,neutral
Iker Castillo  wacha 😳,0,negative
"Esta son un par de asquerosas que buscan la vacancia del presidente Pedro Castillo Terrones, cada una desde su trinchera viven azusando a un golpe de estado en complicidad de la fiscalía putrefacta y el Poder Judicial pestilente 💩😡🤮",0,negative
"Muy bonito todo, pero todo el crédito se lo dieron Pucallpa, que es la ciudad del departamento de Ucayali, pero faltó mencionar que por ejemplo pertenece a la provincia de Padre Abad, distrito de Curimana, caserío Bello Horizonte. Espero con esto hacer un comentario constructivo para que así los visitantes tengan más conocimiento de dónde está ubicado exactamente la hermosa catarata Regalia. Buen día, saludos, gracias...😊",2,positive
Thamara  yo merengues 😂😂😂😂😇😇😇😇,2,positive
Franco Guerrero  viste el programa ya que tanto sacas cara por ere grupo fresco domas relajate 🤣,1,neutral
Desde Tumbes Perú ❤️ iiii❤️❤️❤️,2,positive
"Cuando terminó la canción, la abrazó y la besó",2,positive
Ya pe tío anda a las zonas donde las papas queman y muestra a los rotos ahora ya mucho cuico 😅,0,negative
OYE QUE HACES CALATO 😂😂😂😂😂,0,negative
que bueno te recuperes del covid japi❤️,2,positive
No hay punto de comparación. Anuel una de las 7 plagas 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤮🤮🤮🤮,0,negative
Miguel Terrone actitud michiiiii!!!! 😂 ,2,positive
Eres el mejor chinito y que no se te olvide humildad ante todo brother 💪👍,2,positive
"Te admiraba Luis Luisito , pero justo me acabas de desepcionar , creo están cortados con la misma tijera 🙄🤨😡",0,negative
Así como hicieron en Tacna....a dónde acuda este delincuente debe lloverle huevos pero podridos....corrupto sin sangre en la cara.👎👎👎👎👎,0,negative
Y xq 2 tigres???? 🤣🤣🤣🤣,2,positive
Ahí veo interés como cancha 😂😂😂,1,neutral
Que atrape a DINA RATA y su GOBIERNO CORRUPTO Y QUE DINAMITE LOS CANALES BASURAS 😉👌,0,negative
Señora es su problema de ellos  o esta envidiosa por el departamento que se ve de lujo. 😏,0,negative
Q ricooo mango 🥭 😋 y baratoo,2,positive
"Viaja y Chupa, edición after hours , asi quien no extrana perú y los patas papa! Victor love you mi Olayita 😁",2,positive
Huy apareció desinflada la tuco😂😂😂 Fuera todo estás lacras!!!,0,negative
Estás haciendo trampa,0,negative
lo vamos a guardar un par de semanas en otro lado,1,neutral
Ridícula igual que su vieja 😂😂😂🤭,0,negative
"Desde que la flaca le puso parche en su pelada, desde ese día Beto Ortiz soltó todo su envidia por el partido PL que no se cansa de criticar, ablando huevadas ....y que decía que canal N era el único canal que se la pasaba todo el dia ablando de Pedro Castillo, ahora es otro mamón que trata de destruir la candidatura de Castillo....Quieras o no TE GOBERNARA UN SERRANO .....NO TE GUSTA QUE UN SERRANO ESTÉ EN EL PODER .... JAJAJAJA 😂🤣🤣🤣🤣🤣",0,negative
"Por acá en Nariño se hace con papas peladas de una vez, guiso y quesillo, queda 😋 Delicioso...",2,positive
Alfonso sacó un troncho del bolsillo de su casaca,0,negative
"Harto ajinomoto le meterá, discrepo de que sea el mejor caldo de gallina 🐔....   Hasta ahora el mejor caldo que probé fue en 7 sopas. 🤤",1,neutral
Angela Biviana Aguirre Silva Flopy AgSi 😊😊😊😊 ha faltado la torta de zanahoria 😋,2,positive
Que tanto se burlan de una mujer gordita ?? Fíjense ustedes tremendos panzones y feos ... Una mujer puede bajar de peso pero lo deserebrados y chipis no se los quita nadie 😚😚😉,0,negative
Gabriel Solano Causillas tu tema favorito 😎😆😂🤣,2,positive
Siga de chismosa 😂 cual trabajo haces? Exponer la vida de los demás? Esa vaina puede esperar,0,negative
Kimberly Pisconte  Alexandra Aranda  nos falto estoooo 😢,2,positive
"Hikari... Lo recomiendo, el mejor lomo saltado 🥰",2,positive
AHORA VA SER MINERO Y NO FUTBOLISTA 😂😂,0,negative
Jhadira Montes de Oca Fiorella Camila Piñan Palomino aqui esta kachu 😂😂😂 a el se referian 😂😁😋,1,neutral
"...me encantaaaa ir al RealPlaza👍👍👍👍 porque es un Centro Comercial super diverso!!tiene muchas tiendas para escoger y lugares para pasar un buen rato <3 es para nunca aburrirse y pasarla bien con mis amigas,es uno de nuestros puntos favoritos✨",2,positive
Lia Coral Varas jajaja mira amor.. Igualita a ti como me haces 😂😂😜😘,2,positive
Lo mínimo que  debe hacer o gol Perú debe hacer es botarlo de su canal . expresarse así de quien le dio de comer años cuando no era nadie... Quiroga un saludo para ti y para la ctm .... Nunca más entraras al gallardo 😎⚽🏆👍  cristal es único ejemplo a seguir,0,negative
"Claro que unidos podemos lograr muchas cosas, pero sobretodo si tú juegas en la selección, eres un gran jugador y una lindura 😘😘😘😘",2,positive
Consuelo Sanchez Maria Isabel Mendoza Sanchez para hacernos por el día del pisco sour 🙆🏽‍♀️💯,2,positive
ya soy muy viejo,1,neutral
"BETO A SABER  DE PERIODISMO. EXITOS EN TU NUEVO CANAL WILLAX, prontito canal caliente a las 9.00 p.m. 👀👂👃👣 🆗",2,positive
La mejor sopa seca con carapulcra es de Cañete 🤤,2,positive
"Victor Salazar ojo un macho alfa, lomo plateado, barba de guardabosques, semental latino, voz de espartano, espalda de gladiador, furia de titan, que mide dos metros, manos de lija, pecho de gorila, zobaco con zacate, brazos de Hulk, pelos de tuza, hambre de náufrago, sed de vikingo, pito cabeza de galápago, huesos de adamantium, que ve porno en la tele de sus suegros, nazi-comunista, reptiliano, annunaki, iluminatti, que mea y caga como gente grande, frío como el viento, peligroso como el mar, satánico-cristiano, penegobernante, masoquista, traga fuego, mezcalero, que invoca a Shenlong con las dos bolas que le cuelgan, voltea tazos de un putazo, mata a Rugal con Choi, sonrisa de niño, pito de señor, que convence a su novia, a la cuñada y a la suegra y luego le hacen de cenar las tres, traga clavos y caga balines, brinca edificios, que le da pesadillas a Freddy Krueger, constructor de día-destructor de noche, que pela changos a nalgadas, velador panteonero, descendiente de Chuck Norris, jamás de los jamaces.... Puta madre!!! Ya se me olvidó lo que iba a decir... 😫",0,negative
"Simple, wantan en verano y en invierno sopa 🥱",2,positive
"Jajajaja puros babosos la siguen 🤡🤣🤣🤣🤣🤣🤣 ya saben, limpien su cámara xD 🤣",0,negative
"Si yo fuera Zaire te metía un puñete en la cara por mermelero, bien Zaire, con más razón voto por el lápiz ✏️ ",0,negative
Próxima parada Huancaya :3 Dennis wuuu 😛😛😛,2,positive
"Ahora el ser campesino y pertenecer a los ronderos, es ser terrorista, tremenda ignorancia del mismo periodismo y la gente vieja como Cuculiza que durante sus años no sabe diferenciar ambas cosas. Este 6 de junio, con toda firmeza marcamos el ✏️de Pedro Castillo.",0,negative
"Mi opción favorita que le encantará a mi mamá es la cartera reversible tiene un estampado hermoso, esos dos colores son perfectos para combinar con la ropa que uses. Parfois sus detalles son perfectos para el día de la mami justo para engreídas como lo merecen ♥️",2,positive
La que lo volvió minero a Brus Sulca 🤣,0,negative
"Y si no quieres traer la barreta, toma tu plata",1,neutral
Seré la primera en saber donde están y me darán mis cocorocos ajajajajaj 😆,2,positive
Fernando Salcedo ya te veo con los peloteros 🤣🤣🤣,1,neutral
Todas las poses te salen con las chiquitas manos todas XD 😝,1,neutral
El panetón de mi vecina 😀😀,2,positive
"Tranquilo chato, guarda con el bobo 🤣🤣🤣",1,neutral
Ale Pérez ptmr me cagado de risa desde ayer hasta ahorita 🤣🤣🤣es de la refurinfunflay cristian rivero es un trome te pasaste pobre chinita quedo remojada 😃😃😄😄🤣🤣💩💩💩💩,0,negative
Luciano como haces para comer tanto y no engordar  yo como un pan y me infló como sapo🤭👍🇵🇪❤,2,positive
"Tallarin Verde y Bistek Apanao...sufi...delicioso...la huancaina...? Que siga siendo una deliciosa entrada...mezclaos no....ademas mucho carbohidrato...dos salsas en un mismo plato..? No pz. No va,   is my very personal opinion.🍷🍄🍷🍺🍹",2,positive
Qué capos!!! Mis respetos👏🏻👏🏻,2,positive
"Ni chicha ni limonada dijo la Teté, riéndose",1,neutral
"Así de rico se come en mi bello huaral y Chancay , felicidades Luciano 🙋😀",2,positive
Aracely Monserrate Yañez😂😂😂😂😂,1,neutral
Esta chica está para un psiquiatra pero bien que lo movieron y todavía habla derrepente será al contrario más polla que el agua 🥴🥴🥴,0,negative
Por eso Peter Castle President ✏️.,1,neutral
Hola (: cuando fui casi muero x que fui xon Carpa de Playa 😂,2,positive
Asi de sinverguensa son estos venecos 😤 si la policia no ace nada  😤el pueblo tiene q tomar justicia y dar una leccion como antes lo asiamos chorro asotado y despues entregarlo ala policia eso va pasar si la policia no ase nada con esta gente simverguensa 😤😤😤,0,negative
Por estar de calentones ahí está y no me vengan a decir que nada dura para siempre que el amor se acaba que la comprensión que la monotonía no hay excusa si vas a formar una familia es para siempre hasta ser abuelitos hasta que se te caigan las muelas hasta que te salgan canas hasta que te den ganas de salir a pasear abuelitos sentarse en su lugar favorito y recordar por última vez el primer día el primer beso la primera mirada el primer te amo el primer pedo que se tiraron y se rieron.... Entre otras cosas una familia es para siempre pdjs culero-s calentones déjense de vainas 😡😡,0,negative
Aguardiente de caña!!! Sin pensarlo 😜😜😜,1,neutral
Buen cholo crj que viva el peru 🇵🇪🇵🇪,2,positive
Un genio el tigre. No te vayas nunca!!!! Perú te necesita. 🤩,2,positive
Ayayayay encima media lengua 😝 y tramposo /!!!,0,negative
Antonny las mollejitas 🥺,2,positive
😂basura de música ala firme 💩💩💩💩....esas gente tiene 💩💩 en el cerebro,0,negative
Buena garganta de lata 🤣,0,negative
Kenji amor solo nos falta el meterte lapo y upss pesadilla😹,0,negative
"Beto ya te puso la cruz roja, es como un profe de la U te coge bronca, no te suelta hasta verte fuera de la U 😬",0,negative
Parece el papá de la Chilindrina huachana . Jajajaja 😀😀😀😂😂,2,positive
"Ahora trae una bolsa, carajo",0,negative
Q wena chapana con cancer  🤣🤣🤣,0,negative
Ahora mismo revisaré ese celular Oscar Reyes 🤔 y pobre de ti si no encuentro mi número guardado como yo lo espero 😡. Ya sabes que para bipolar esta mina me queda chiquita.... 😒,0,negative
"Con ese cuerpazo andaría calata,  sigue con fuerza, y las que no puedan que aplaudan y se callen el hocico😆",0,negative
Rvben Brito anota amorcito que te vas aventar el paquete cuando no este 💋,0,negative
Brandon Sucari Brandon Sucari Huamani  hnooooo eresss viralll 💯💯💯💯,2,positive
Jj note iguales ni alas pezuñas de  magali🤣🤣🤣 esta con ganas de facturar,0,negative
Como cualquier padre ver a su hija verla así la Charo exagero creo pero también tito a tino al Diego duela la verdad taba bien ese capítulo bien😎👍😉😱,1,neutral
A cueva le pasó como a todo futbolista q llega con los grones..  La maldición de la kk!!! 🤣🤣🤣,0,negative
Les debiste preguntar porque a los chilenos les dicen rotos😆,0,negative
"Que no le pida perdón a nadie. Hay Fanáticos incontrolados y alejados de amar y cuidar, que son penetrantes. Benito “Bad Bunny” es un ser humano y todo cansa. Esa fanática es una hostigadora que lo estaba molestando desde hace rato. El se había echo fotos con ella, pero luego ella hace videos en vivos con amistades queriendo y hostigándolo a que el le responda a sus amistades. Eso no se hace! Aunque el se deba a su público, nosotros los fanáticos debemos ser más sensibles y menos hostigadores. 🤷🏽‍♀️",1,neutral
Con una moto así podría ir a visitar a mi bombón 💕 al otro lado de Lima 🥳 Mauricio Salguero Quinoso,2,positive
El pipa di Benedetto . Le dió una buena trompada.... jajaja.. pobre mojón 💩,0,negative
Un hijo de puta Ricardo Mendoza C. 😀😂😉👍,2,positive
Anda nomás rosca... 🤸,0,negative
Jajaja la bu lo empata por emoción ahí estás hablando del ❤️ no jodas PS osea encima comparas 2 competiciones diferentes 🫡🫡🫡,0,negative
"Jajaja 😂 😂 😂 😂 😂.  Tenía que 🤔 🤷 ser el mongo de Joel  Jajaja 😂 😂 😂 😂 😂... Pobre 😥 de Gasparin,  Jajaja",0,negative
Lo pude ver en plena transmicion... un mate de risa ... un capo Coyote 🤣🤣,2,positive
Y a quien a ganado  este chapeton también  que 👉✈,1,neutral
Pero de que juguetería saliste muñeca😍😍😍,2,positive
Fuerza sofia gracias por difundir lo que te pertenece y los corruptos que hagarran un cargo siempre se creen dueño delo que no lo pertenecen. Para mi siempre hay una argolla que lo quieren meter y decir yo no te conosco 🇵🇪 vamos campeona yo si te conosco ARRIBA PERU SOFIA.,2,positive
SI GANA LA UCHULÚ SE DAN UN PIQUITO. 🤣,1,neutral
Ilich Rirey 🐛tu piqueo preferido 😂,1,neutral
"no pasa nada, todos tranquilos",2,positive
Leticiaa Cataleya Benedetti así eres tu xd 🙄😅😅♥️,2,positive
"Jape, no es tu culpa asi q no pidas perdón, tu eres extranjera y no conoces mucho nuestra cultura y modo de vivir es decir q la culpa la tiene merino y q ayas opinado de las muertes no tiene nd de malo Yo soy nuevo en el  canal y soy de Perú, esfuérzate ❤️👍✌️",2,positive
"Que es esto ?????!!!😢 Mientras tanta gente esta sin un plato de comida , sufriendo  por las perdidas que tuvieron en la pandemia tanto economicas como perdidas humanas ,nuestro querido gobierno gastando medio millon de soles en esto es el colmo y encima el presidente y el candidato Castillo juntitos  🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️, me da vergüenza el presidente regional invitando como si fuera su fiesta privada el Inti Raymi  y despilfarrando dinero que en este momento no se puede gastar #duelesPeru #PaulbenaventeGarciadasasco #noalpedroraymi 🤦‍♀️🤮",0,negative
