text,label
Anna RiversLc  LA QUE PIENSA SOLO EN TOMAR 😂  Rosmery HMestas LA QUE SE FIJA EN LA GENTE 😂😂 Y la que llora 😂 pues las tres 😂 Rosmery Anna Yo 😂💗👭👭,0
"Jajajaja ja esas buenas vibras que tiene, un éxito. Sigan viajando chicas y pasen las fijas 👀",2
Asuu que jale chata 😁,2
No solo t canbia la voz ojo tanbien te canbia la parte intima 🤣🤣🤣,2
"Mis respetos 👏🙌🙏Sra. Fiscal Benavides. Meta a la cárcel a toda esa organización Criminal del delincuente Castiburro, y no se deje intimidar con esa sarta de delincuentillos baratos y medio pelo....",2
Manolo Del Castillo (Oficial) tienes jale hasta con las loritas🤪,2
Chino adoptalos nuevos jales de esto es los especiales de la risa😂,2
🔥🔥Buen jale sería llevar al cómico PEPINO 🔥🔥,2
Solange Ugarte Añazco a con razón tienes tu jale 😂🤭,2
Buen jale con sapito 😂,2
Joseph Tuco quiero esoo 🤤,2
Corre tuco corre tuco🤣🤣🤣🤣,1
Estos tucos si que se camuflaron bien para llegar al poder ...no tendría que sorprender si gana el lapicito ya que estamos en perulandia🤦🏻‍♀️,0
A los votantes por castillo : ya están listos para hacer compras con su inti-coint no? En plena pandemia y con un déficit fiscal una nueva forma de compra. 😅,2
"La sociedad vive según sus prejuicios no enlodar a todos, cada quie baila con su.pañuelo y yo.prefiero la desnudez dejarlo.para mi intimidad es más misterioso y encantador,cada quien en lo suyo y se respeta.🐶🐶🐶😻😻😻",1
"Que intimidante sus palabras, es como esperate lo que se te viene .... 🙅‍♀️",0
"Me encanta tu sarcasmo,  tu intigencia y tu irreverencia. Cuantos quisieran tener esa personalidad. 👍👍 ÉXITOS TOTALES!!!",2
"Csm una vez estuve estuve intimamente con un travesti y ni cuenta me di hasta que me lo dijo, deberian tener ya su DNI personalizado 😢",0
Es mi tocaya 😍 Eso es Amor del bueno...Buena Beto que ya regresaste a tu Jato!! 🤗🏠,2
Pobre el japii lo q se espera ..😃😃,2
Lo maximo aprendo contigo colorao....quiero tener ese estomago tuyo y no engordar jamas jajaja 😂,2
chino kien es esa vampireza que te mordio la jeta 😜😜,0
"La mayoría me dijo que no podía me subestimaron, de mí se burlaron. Pero hoy, que cumplí todas mis metas solo queda burlarme en sus jetas 😂  Claudia Oquendo",0
Carlos Alessandro CruzAzael Rico Edgar Escobarahí les dejó para que vallan aprendiendo jopones para no mirarlo en sub los anime 😂,2
Jajaja 😂 no tiene para la jama y compra iPhone,2
"Conchudaaaa de ahi no pasas a que solo se bacilen contigo y eso es lo que te duele, jamas te vas igualar a Ericka 🙄👌 ya te tocara.",0
Cristian Contreras  Lalo Bola Morales 😂😂😂,2
Sepa la bola cual soy!🤔,1
Celeste Rojo Bolaños tu 😂😂,2
Erick Pacheco Diaz❤mi amor mira se presentara tu bobo🙆,2
Calma tu bobo Jose Luis Pelaez Silvaa 🤣,2
Obvio a Katy no le fueron a poner el celular en la cara bobos🤡,2
Cielo Bogado Veronica Benitez si teniamos el mismo talle iba s dar gusto😂😭,2
Ahí pobricita  nena inocente 😇  necesita  sicolofia  ya mamita solo te creo  magali tremenda  calzón  con bobo,2
Yo veo a estos dos bobos como bunny y luisito cunica me da igual son seres humanos como yo grande es mi Dios 🙏,2
Mis Saludos al a bogado del Presidente Castillo🙋‍♀️,1
Renatta Bogani segundo 17 😂😂😂,2
Eliezer Bogarin xq sera que me recorde de vos 😒😒😒😒,1
"Me encanta estar ahí,ya lavé platos y tazas ,🤭",1
Rebeca se enredo q casi se cae 😁creo q mucho tela para ella 🫣😂😂😂,2
Lo mejor!!! Jajajajaja la tradicional taza naranja lo mejor. Faltó su gelatina 🤣🤣,2
Yooo soy igual..... No me soporto ni yo misma ... 🤭🤭🤭 Después que tomo mi tazas de café soy feliz hasta hablos con mi imaginación. 🤭🤭🤭🤭🤭🤭,1
Luciano de tanto que comes rico 😋 como haces para seguir tan tela ???? Jajaja 😂 a donde se va lo que comes ???? Jajaja,2
A mi si me gusto se ve bonita y la tela es fresca 👍👍,1
"Vi la primera, y me dolieron los ojos, si dicen que esta estuvo peor, culpa de quienes le dieron tela a esa película 🤷",0
Tanta tela y no pudo tapar los hoyos! 😁no esta bien bonito tu vestido 👗,0
Seré la primera en saber donde están y me darán mis cocorocos ajajajajaj 😆,2
Donde compraste tu tazaaaa 😍😍😍😍,2
"Recuerdo muy bien una vez, sentada en el baño, recogiendo unos calcetines de mi hija que llevaban 3 días al lado de la taza ( estaba probando cuanto demoraban si yo no los recogía). Luego saqué el rollo de confort vacío ( se había terminado 1 día antes y el rollo nuevo estaba sobre la tina). 😒😒😒",1
Q linda tu taza ♥️♥️♥️♥️♥️♥️♥️♥️,2
Hanna PG  hanna dile tu mamá que compres esa taza jajaja 😂,2
hoowww taza de nemo ♥ jajaa,2
Lo bueno que ya no tienes que besar boyos 😃😃😃,2
Ese show solo es para que les hagan más creídas después de todo ni cuenta en el canto solo calificaron a la más engreída Maciel canto hermoso tiene una voz espectacular estoy en contra del su boyo del jurado🤨,0
"Yo trabajo en un telo, y mucho de esto es cierto 🤣🤣🤣🤣",2
Aquí desde el telo …  🤣😂,2
"Ajajajajjaja otro como tu siempre hay, como ese telo no ! Jajajajajak😂😂😂😂😆😆",2
Isa ER 🤣😂🤣 como ese telo ninguno,2
"Carlos Mendiola vamos a la playa! Pasamos por este restaurante para el desayuno, tiramos playa durante el día y volvemos a Robertin para el almuerzo y, al final de todo, vamos al mercado para traer harta fruta! Qué tal domingo 💛",1
Victor Manuel Guevara Barboza jajajaja encima se tiran al piso no? 🤣,2
Ajjajajjajjajaja esa filosofía siempre ha sido parte de mi vida 🤣,2
"Estas filosofando.....si dice para, todos tienen que parar... y ahora quien da el pase? Jajjaa😂😂😂",2
Una filosofia 😆 de la autoestima satirizada en su maxima expresión...que mario poggy en esa faceta de locura autentica siempre te dejaba risas y algo de ego tambien 🤭😃✌️,2
Alguien sabe porque va al filo del asiento 🤣🤣🤣🤣🤣🤣🤣,1
Esos vulgares disque periodistas son una tira de chismosos y mentirosos faltosos deben censurarlos 🐭,0
"CHINO CUANDO EL JEFE TIRA LAMPA, LOS ESPECIALES TAMBIEN PX🤨🧐🧐😎",0
Francesca Godoy Valencia ¡acertamos! 👌👌,2
Jazmín Valencia Cerna 🏄‍♂️,1
"Ítalo Valenzuela Aldave para que entiendas el ""ya no quiero nada ya"", me engrio 💃🏻",1
Ptm q bajo a caído este personaje aparte de vago y mantenido 😂😂,0
Estan esperando que este vago funcional de palacio los llame para que cuiden la vagancia hecha institucion.🤣🤣🤣,0
"‼️HASTA Q POR FIN CERRARON FILAS, GENIAL‼️ AHORA A HACERLE FRENTE A LOS VAGOS CORRUPTOS",0
"Quédate ahí no más  vago CDTM 👊 ,,",0
Eliana Mauricio Arica 🤣🤣🤣 la que te conté del vago,0
No tenemos gobierno. Solo unos vagos que nos hunden en la miseria y la muerte. Esos son los Vizcarristas. Basura pura!!! 🤢🤢🐀🤢🐀🤢🐀,0
"El ingeniero tiene su estilacho y buen ritmo, era justo que lo inviten 👏",2
40 millones de intis dirá 🤣😁,2
"#teomen #amor #felicidad  #pasion #viral #santosteomads  #organizacionteomaglobaleit  #Mexico  #viral  #viralmundial  #virales  #santoswilderdiazsilva  #Ventanilla  #ancon2022  #Mundialmente  #santosteomads #Teonitro  #santosteomads  #organizacionteomaglobaleit  #santoswilderdiazsilva  #viral  #viralmundial  #virales  #mexico  #Ventanilla  #negociosdigitales  #negociosteomaunilevel  🔴🔴 El estrés, los malos hábitos y otros factores afectan de forma negativa la relación intima que tienes con tu pareja. Por eso #TEOMEN es para ti, TEOMEN posee componentes potenciadores y estimulantes naturales de la sexualidad masculina.  TEOMEN contiene: ✔️ Maca Negra ✔️ Chuchuhuasi ✔️ Jengibre ✔️ Ajo ✔️ Vitaminas y Minerales Pide HOY tu frasco de 100 cápsulas. Recuerda que puede ser usado tanto por hombres como por mujeres. ⚠️ ¡Quiero comprar! ¿Cómo me contacto? ⚠️ ➡️ Llámanos al 51920416036  ➡️ o escribenos a teomaoficial097@gmail.com  ➡️ Envíanos un mensaje privado por facebook ➡️ o visita nuestra web: https://peru.teomaglobal.com/9324 ➡️ También puedes afiliarte y empezar a vender productos #teoma1  #Ventanilla  #santosteomads  #organizacionteomaglobaleit  #santoswilderdiazsilva  #metaforbosiness  #salud #tucuerpoyasabe #sabados #deamor #domingos #descanso",2
Bien Luis Carlos aunque por ratos te veo inseguro poco preciso intimidado quizás por el bullicio y el alboroto del evento ... esperare la entrevista con Merly Moreno 👋👍,2
En donde están los ingenieros de mina que para ahi 😂😂,2
Eso muy rico lo consiguen en Cooltura Restaurante 😋😄,2
"Esto es la CORRUPCION y todo lo que hizo sin tener todo el poder, imaginense cuando lo tenga, no hay que ser ingenuos, la confiep esta con ansias de cobrar toda su inversión en keiko, recuerden que no hará nada por el país. 🐭🐭🐭🐭. Tuvo mayoría el congreso .blindó a los cuellos blancos ,chat de la botica  . ...etc   acá no se trata si es de izquierda o derecha  . La señora K 🐁 es investiga por formar parte  de una organización criminal 🐁🐁",0
Y tijera Qué quiere decir Al labio luismi alladio unau yo a ti tijera 🎙,2
Omar ese es ingeniero 😄🤣🤣,1
Arturo Valenzuela Del 1 a 10  cuanto me amas? 😂,2
Jajajajaaja Gabriel Valer   Claudia Betsabe Valer Ramos Diana Valer para Quiin 😂😂😂😂😂,2
MINISTRA BETSSY CHÁVEZ  FELICITACIONES NUEVAMENTE SILLÓN MINISTERIAL ERES UNA MUJER VALEROSA PARA NUESTRO PAÍS 🙌,2
Ala base anda ala base jajaja este que mrd está jugando 🤣,2
El ingeniero de Minas 😅,2
"Lo que te conviene creo  es que solo pongas contenido dirigido a tu pais...asi no meterias tanto la pata¡ Y el animal de fondo...bueno ignorante no es, algo peor que eso creo¡💩",0
Gabriel Campos Jurado vaos a pata como debe d ser!!❤,2
""" métele una patada a tus sobrinos y sácalos de la sala..."" 😂😂😂",2
"Lo peor es que tiene razón xD 😢 si ven pataclaun está generación, mandarían una demanda por todo lo que ven en el programa xD, ah pero ponle esto es guerra, se motivan a dejar de estudiar y ponerse a armar vasitos XD",0
Miluska G Shullma miren que risa este pata jajaja para que se rían un rato 😂,2
Esta cagao este pata la comparar al Gran Freddy Mercury con la otra cochinada de cantante si se le puede llamar así se paso de revoluciones o se cayó de cabeza😁😅,0
Eso pasa por bailar danzas que no conoces pataaa 🤣🤣,1
"Tierra de mi Abuelita. Venturita y mi abuelito Aurelia Cañote Romero. Y de mis ancestors por parte de,mi mamita Rosita💝😍💝🌄💝",2
Bayxza Cañote Amaya erebls tu amor ❤,2
Que mas le queda si sabe que castillo lo fusilara con cañones largos y gruesos 😂🤣😅,2
Claudia Leyla Cañote J mira 🤔,1
Que pase el caño JAJAJA 😁,2
La gente no entiende o q si ya dijo q el biodegradable hecho de caña 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️,1
Orlando Cañahuire la triste verdad 😔,0
"Camila ,ese mas toxico q la patada !!  Cuando vino con su bolsita de pan? Recuerdas jajajaj🤣",2
Diana alv! Un mate de risa este pata! 😂,2
"La mia tiene 1 año 10 meses y a veces hace pataletas...sobretodo en mi casa, cuando estamos en casa de otros o en la calle no 🤔",0
Que increíble trabajo. Bravo Christian Bravo 👏 ; Felicitaciones pata ti y tu Equipo.  Que gran movimiento. Como buen Peruano piloteando la cocina en el mundo 🌎.,2
Riquisimó tallarin con pavo plato bandera de Piurita 😋,2
Ela River Claudia Torres miren el pavo con tallarin y chifles 😂,2
Mainor Pavon quiero ir 🥰,2
Vanesa LH colabora puesss 😁,1
Josué Pérez así estamos con tu pavo 😔,0
"Paul Jersson Carcasi Canazas eres feliz , no te gustaría ser ..  😂",2
Pensé verte en la cola 🤭🤭🤭 Pamela Arce Salazar,1
"Daniella, un sanguchito de pavo en Astoria y las empanadas de Sorrento...uuuffffff!!!! 😙👌",2
Lo agarro de pavo literalmente 🤣🤣🤣🤣🤣🤣,0
Manada de solo  👅🐍y a todos ustedes que les importa la vida de la.señora Acaso algún 🐸 que esta acá escribiendo juzgando  Se ha dignado a decir Venga señora que le.puedo colaborar Venga le obsequio un buen mercado. O al memos vengany le damos para mitigar el.dolor del.niño Cierto que. No Todos son una partida de metí.dos Y ya,0
"Creo que sería genial, una colaboración con Chingu Amiga 😎 ya que ella es coreana y vos japonesa, dos culturas que me encantan y son muy diferentes a la de Uruguay, desde costumbres, hasta la educación.",1
"Es una 💩 después que va hacer un balón con wifi que con una patada se neta automáticamente, el mejor balón es el jabulani",0
Fredy Villena me hace acuerdo a un pata cuando se pone a tomar. Cambia tío 🤣,2
Los que hacen la pataleta por el gobierno de castillo son parte de la derecha bruta como siempre lo han sido😕😕 #VivaElPeru  #VivaLaRevolución  #socialismo ,0
Maritza Palomino F recuerdas cuando me piden sonreir? 🤣,2
No puedo más con la risa 🤣🤣🤣 eres un capo.,2
"El ladrón piensa que todos son de su condición su peor condena es su boca,otro dicho el pez cae x su propia boca,hay mi santa paloma🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣pobre prensa siguenos contando",0
Luis Palomino.. inspirate!! 😄😄,2
Con palo le hubiera dado en la cabeza🤣🤣🤣,0
Pilar Palomino Mira 👀,1
Trucha con papas fritas y harto ají. Gracias 😋😋😋,2
Me encanta la papa nativa! 😋,2
Cual es tu campaña sobre vizcarra beto ?  Así también hubieras hecho lo mismo por el papa de tu amiga karla  🤔🤔🤔🤔,0
Tata a qué hora podemos ver a Papa Noel? 🎅 😌,1
AHORA LA. SEÑORA. SE. SIENTE RECONTRA PERUANA ?  SE PONE LA CAMISETA DE LA SELECCION ?   LOS FUJIMORI TANTO AMAN AL PERU QUE UNA SE CASO CON UNO DE ESTADOS UNIDOS OTRA HERMANA SE CASO CON UN ALEMAN SU PAPA POSTULO AL CONGRESO DE JAPON. HAY UN VIDEO EN DONDE KEIKO LE HACE HONORES AL JAPON CON TODA LA VESTIMENTA ESTA EN LAS REDES...TANTO TAMTO AMAS AL PERU ? KEIKO.     No SERA QUE LO QUE VERDADERAMENTE AMAS ES EL PODER DEL DINERO DEL ESTADO. QUE ES DE TODOS LOS PERUANOS ? DIGO NO MAS....AAA. ME GUSTA EL FONDO MUSICAL TAN. CELESTIAL Y TU VOZ SUSURRANTE QUE BUENA PUESTA EN ECSENA.  😄,2
Se ve riquísima la papa rellena..😋,2
Josseline ese y papas en como nos falta 🥺😂,2
Yo puedo ser su papacito 🤣,2
Danny Ishigami cuando salimos por las papas jajaj😅😂,2
Yo estoy esperando que el papanoel se caiga 🤣🤣,0
"TA bien que pierda el prosor, para que no ande sacando sus ""guías"" bajes de pepa 😝 ogre con con dos Midas 😂😂😂😂",2
"Que buena definición del criollismo ""bajar Pepa"" ,  mis mejores vibras para el bro del skate y de los expansores 🙌🤘gaaaaà",2
Jajaja todos bajamos pepa con tus videos :v 🤣,2
Mayle Vianey RuDi Yp Marvin Peralta tenemos que ir a verla! Se estrena el 03/02/2022 💕,2
Creo que quiso hacerla de gata fiera y le salió mal jajajajaja 😂😂😂,2
Katiushka Suarez Salazar pepara pe 🤓,1
Jajaja que bajada de pepa 🤣🤣🤣,2
Valentina Peralta 🤗😘,2
Renzo Villena Daniel Enriquez Perales oee que fueee ptmr 🤣🤣,0
Franko Bernuy Peralta 👍,2
la negra Teresa y la pera madura  Que beeeestia 😋😋😋😋😋😋😋😋,2
"Carlos Fernando Peralta Espejo, Paola Fossa Kawakami, César A Iberico 🤤",1
"Es obvio que la cifra de personas infectadas con el Covid 19 seguirá en aumento, porque ahora hacen más pruebas por día... Y algunas personas parecen estúpidas sorprendiéndose todos los días con los nuevos infectados. Nos debería sorprender que a pesar que tenemos un presidente que todos los días nos explica la situación con peras y manzanas 🍐🍎 Hay muchas personas que no entienden y siguen haciendo lo que les da la gana sin pensar en las consecuencias... Saludos mi estimado Beto Ortiz (Oficial)😻",1
"Debe ser mago para supuestamente no trabajar y vivir por ahí, hay que otros que tienen que tocar puertas de canales de TV porque los paran despidiendo 😢",0
Naranja con pepa🍊 .....Manolo,1
Así a este es para peterle puñete con el pie 😂,0
"Betika, Cuando más atacas al Peter Castle, más me anima a votar por él.Ley de la contradicción 🤣🤣",0
San PETESburgo muy lindo 👌🏻,2
"Ese Peter Arévalo no quiere q desestabilizan a su equipo, pero cuando hablo de la camita en cristal cosa q fue mentira ahí si no dice nada 🙄",0
Nelly Peñarrieta este es el lugar que te decia por wapp 🙌,1
Stefani Peñaranda Meza 😂😂,2
🤣🤣🤣🤣 Carmen Timana Peter Rimay Maria Del Socorro Yessi Mena Kelly Chelton Saldarriaga  cuando salíamos 🤣🤣🤣🤣,1
Que rico 😋😋.  Que buena colaboración 😃... Prueba y Viaja 👍,2
Laura Peralta Pérez 🙊,1
Luzmery Peralta Portilla mañana❤❤❤❤❤❤,2
Cristofer Reyes Canario😂😂😂😂,2
La carne pegada al huesito que sabrosooo..😋😋,2
Ahora la señora se le va a pegar 🤣🤣🤣,0
"El Felipe mantequilla y sus aires de superioridad... 🤭😅 Se va encargar dice... El sabelón ahora la quiere pegar de 'juez' jajaja jajaja pobre y triste lameKKulo del poder económico corrupto, esa es su 'proteccion' de la mafia, por ahora...",2
La pegada al hueso!! Demasiado rica 👍🏾,2
Alberto GT Ya estás practicando mela ? 😏😏🤣😂🤣😂😂,2
Sandy Paola Diestra  Melanie Hipolito Sotelo Geral León David Diestra Herrera 👍,1
Deja de spamear Melanie 🙄,0
No colaboras pues cuy 🤣🤣🤣,0
Cesar Colan a cocinar se a dicho😅,2
Como una gata en el agua... 😁😁😁,2
"Ahora puedes hacer de "" La gata"" 🤭",0
Qué belleza de perritos... Pero yo tengo 3 gatas... Que son mis amores😘😍,2
Y yo por las justas con mi gata 😭,0
Un vídeo de la gata salvaje 😂 María Pía,2
🤣🤣🤣así gritó yo a mi hijita gata o a mi bebé gato cuando molestan.,0
Manolo Ignacio es la Gata loca 🤣,0
Rosa a piedras gordas. Mete ala cana estás mentirosas (os) . Pedro 😁😂😁 .,2
"Es maravilloso ♡ lo desee con mucha fuerza, le ordene al universo que QUERIA la canasta, es que vi el video anterior (me encantaron los regalos) y lo comente.... luego me llamaste!!!! Por eso no salía de mi asombro ♡ Me siento muy feliz ♡ Gracias La tata ♡ Y la bebé ♡ Lo Máximo!!!! MILES DE BENDICIONES A TODO EL UNIVERSO ♡",2
"Jajaja esa media , se para sola o queda en la pared pegada 😷",2
Alexis David Costa Jimenez cuando tienes que llegar lleno de tierra y esas benditas bolitas que se pegan por todos lados 🤣🤣🤣,0
Soy una super fans tuya :') ..y me  encantaría tener una camiseta autografiada por ti ❤ Éxitos en el mundial verás q llegarás muy lejos Jomara - Melanie 👑🙈,2
"Pucta que son un mrd estos canales,ahora piensan que el terrorismo va a gobernar el Perú. 💩",0
Ya falta poco para hacer las colas yo también 😃,1
Pero persigueme! 😭 Melanie Navarrete,0
Jajajaja 😂🤣 Maria Pia Copello a la próxima moja la cola de tu vestido y fácil trapeas toda tu casa con solo caminar jajaja 😂🤣,2
"Uyyyy amigas, lo que necesitan Melani  Danyeli 🙄",0
Licely Simon Melanie León Andonayre podemos hacer turismo gastronómico 😂,2
Fernanda Joceline DG Vamos a conseguirlos para el mono 🤭,0
Provecho  monolito  con  tu adovo k rico 😋 😉,2
"Ese tio dijo q le decian monarca, mitad mono mitad carca 😂😂😂",2
"Acuña eres una más de los fujirratas  , eso se llama traición a la patria  , a ti  no te enteresa la necesidad del  pueblos  , te enteresa corrupción  y los monopolios 🐀 🐀 🐀 🐀 🐀",0
Marcos Pietri Catacaos 😂 nos hubieramos ido ayer con la motivacion de la llenadora de autos ajaja,2
Indira falto la de los bailes sexiis 😂 pagando dinero de Monopolio,2
"🤔 hay algo que no es justo  ¿y donde esta el monologo contra la derecha repredentada por sra. Fujimori? Eso tambien ayudaria a conocer e informarse , decir que de la sra fujimori se sabe todo es inadecuado ,🤔 creo que hay mas por saber de ambos candidatos..",0
Susan Ruiz Flores e traes un coto mono 🦍 jajajajaj,2
Parece monos 🐒🐒🐒también 🤣🤣🤣🤣,0
"Hasta el mono que para en los árboles tiene un tropiezo imagínense nosotros 😭, lo malo es que los demás se vacilan 🥴😏.",0
Katty Nolazco jijiji 😜 ese día ni te dejo sentar,0
Diana Nolasco Zavaleta Gutierrez Mercado Kaori 😂😂,2
Flores Rodriguez Junior David La Rosa Vilcherres Jefferson Silva Ortega Angel Rojas Olivares somos o nola 👀🙂,1
Tatiana Corcuera Nolasco  el Cristhian Nolasco  🤣🤭,2
Olga Rupay   Nely Romero Perez Mario Diego Galarza Fortunato Rupay Maura Nolasco 🙌🙌🙌🚌🏜️🎼🚌bamos que olga paga pasaje lo prometido es deuda 🤣🤣🤣😜😜,2
Es una de las ciudades con más cataratas 💚,2
"Pobre yo y dichoso los q te van a conocer, porq yo estoy lejos de Perú ,me reporto desde Nicaragua saludos 🤗",2
"Que chich# importan los planes de gobierno,si nunca nadie los a ejecutado, por Keiko no voto nicagando.😎",0
Pues Viaja y Prueba en Nicaragua 😃😃,2
Estan buenas sus creencias pero aqui en nicaragua fuera eso cierto estaria muerto y sin felicidad 😂😅,2
Nico Marquina Nicanor Marquina 😂,2
Un saludo desde Nicaragua  🇳🇮🇳🇮 E invito a seguir mi pagina.,1
"Quisiera, pero nicagando😪😪 me da un infarto si me aviento así... 😭",0
Sebastian Nolasco Milena Martinez😂 Nos imaginé xd,2
Lo que quiere es que el Cuto se lo monte 🤣🤣🤣🤣,0
Ufff q rico esta la toma d esa catarata!!! Bonito ehhh...😮 Ps Lo q sí tendrían q tener cuidado para cruzar si no caían d ToTo😙,2
Manolo una buena opción también es atalaya a 3 horas de betania ahí buenas cataratas 🍃🍃,2
"Saludos desde ARGN, las encontré porque quería ir a las Cataratas del Iguazú 🥰 .",2
Ojalá que mi Catalina 💖 llegue a bailar igual de hermoso que ella 💖,2
El mejorrr de Catacaosss ❤❤❤,2
Guillermo Vera q venga a las cataratas del niagara esos erisos son los mas gordos del sur 😁 ful abono,0
Excelente. ¡Felicitaciones Lessi Zarina Catacora Pacheco ! 👍🏼🤩👍🏼,2
"Plaza de Armas, Museo Regional, Bruja de Cachiche, Palmera de 7 cabezas, Bodega el Catador, Bodega Lazo, Bodega Tacama, Ocucaje... Y, obviamente, la laguna de Huacachina. Suban a los tubulares y hagan sandboard. Y visiten las discos que hay ahí. Usen bloqueador y lentes de sol. Pequeño tip de una iqueña. Las amooo 😍😍😍",2
"Claro, pero en sus videos se nota bien sonríente 🤣",0
"Tiemblen prensa, tiemblen 😁🤣🤣🤣 Tiembla la derecha peruana  Se les nota el miedo",0
Tomando nota Nico ✍🏽 ,1
"Tremendo talento ya🥰😍 pero nadie notara que tiene razón cuando dijo : ""No quiero rebajrme en la voz Perú ahi todo lo toman como un chiste ""...  Mejores puertas se abriran muchacho adelante!! con el amor de Dios y de tu madre lo lograras ❤",2
"Hahahaaa .. me alegraate el 25 ... no cambies esa originalidad que  te caracteriza #Natalia!!! #Felices_Fiestas y que el 2020 seá exactamente eso, la mejor nota..un 20!!! 🎄🎁🍾🥂🎄🎁🍾🥂🎄🎁🍾",2
"Que belleza...Fui hace años y volveria nuevamente a disfrutar de la caminata, el paisaje y porsupuesto de la majestuosidad de la hermosa catarata 😍😍😍😍",2
K hermoso!!! 😍😍😍Cuando el amor es puro se nota !! Dios los bendiga,2
Que opinas amorcito... Alfred Rivera Munive...😳,2
Necesito un permiso de la municipalidad para estar en la via publica xd 🤣 entonces la via es de la municipalidad y no publica,1
"Gracias tobi, esas escenas del robo del último banco se hicieron en mi distrito, San Antonio de padua, en la municipalidad que queda al frente de mi casa 🏡 👏 😁",1
En ese restaurante no aceptan publicidad gratis !! 😂😂😂 Capaciten bien a su “encargado” pofavo 🥹 Y la municipalidad se cree con derecho a impedir que se grabe en la vía pública ? 😂😂😂,2
Una mezcla de ya cansa ver esas situaciones y otra de seguir exponiendo a tanto animal municipal en las calles a ver si aprenden... 🤣,0
"Suave Cristian , la pintura cuesta caro 🤣🤣",2
Elvive Óleo Extraordinario 😍 yo elijo el dorado Caro de todas maneras!,2
"Es San Isidro y se supone que son gente con educación e informada ,, pero demuestran que tienen 💩 en la cabeza ,, ninguna ordenanza municipal ni políticas de ningún restaurante puede estar por encima de la constitución política, lo que hicieron es un delito",0
"Y no dijo porque la Iglesia y Muni de Tarma se parecen a la de Miraflores,😥",1
Jajjajaaja Carolaine Aguilar 😂😂😂,2
🤷🏻🤷🏻🤷🏻 entiende Yuli eres y serás la mucamis😅😅😅😅,2
"Aprendan a ver una publicación completa antes de emitir una opinión..Ella está negando ser la autora de los audios...Todos comentan y comentan guiándose solamente por el título de la publicación...Es por eso q tenemos estas autoridades,votamos por ellos sin indagar bien,luego estamos quejándonos...Ahora q se acercan las elecciones municipales,le pido por favor q indaguen bien y no se dejen manipular tan fácilmente con falsas promesas...✌",1
"A mi me robaron en San Isidro y cuando pedí cámaras me dijeron que no funcionaban, que las tenia la Municipalidad de Lima. Pero en el vídeo si funcionan las cámaras 🤣",0
"Viaja y Prueba: para el desayunazo: Cafetería Tradicional (Carabaya 514), para el almuerzo: L'eau Vive (Ucayali) y para la tarde/noche: Bar Carbone (Huancavelica, cerca al Teatro Municipal), Mi Tercer Lugar (Carabaya 612) 🙋",1
"Mi admiración y respeto a nuestra deportista Sofia Mulanovich siempre ha dejado bien en alto a nuestro país 🇵🇪.  Es tonto pensar que la campeona mundial no tenga un cupo para representar a nuestro Perú . Que les pasa señores del deporte, o es la mafia que se inquisto.",0
Jimmy parece mula 🤣 Tiene k contar todo lo k ase,0
🛑🛑🛑CUIDADO BETO 🛑🛑🛑 Recuerda que SON de CRISTAL DDHH estará atento IDL MULA 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0
